ingredient,recipient_singular,recipient_plural
creamm cheese,cup,cups
tomato paste,tablespoon,tablespoons
buttermilk,cup,cups
applesauce,cup,cups
stewed tomatoes,can,cans
tomato sauce,can,cans
dark brown sugar,tablespoon,tablespoons
lime juice,tablespoon,tablespoons
parsley,tablespoon,tablespoons
chive,tablespoon,tablespoons
cheese,cup,cups
ham,cup,cups
bread,slice,slices
sausage,lb,lbs
pasta,ounce,ounces
mozzarella cheese,lb,lbs
parmesan cheese,cup grated,cups grated
milk,cup,cups
orange peel,teaspoon,teaspoons
flour,cup,cups
cumin,pinch,pinches
olive oil,tablespoon,tablespoons
garlic,clove,cloves
boiled potatoes,lb,lbs
cabbage,lb,lbs
butter,ounce,ounces
sun-dried tomato,cup,cups
honey,cup,cups
salt,pinch,pinches
courgette,lb,lbs
carrot,lb,lbs
cabbage,lb,lbs
onion,lb,lbs
sugar,cup,cups
margarine,ounce,ounces
beans,lb,lbs
water,cup,cups
yeast,package,packages
cornmeal,tablespoon,tablespoons
olive,cup,cups
mushroom,cup,cups
celery,stalk,stalks
vinegar,tablespoon,tablespoons
dill,cup,cups
black pepper,tablespoon,tablespoons
baking powder,teaspoon,teaspoons
vanilla extract,teaspoon,teaspoons
vanilla essence,teaspoon,teaspoons
wine,glass,glasses
broth,cup,cups
powder,tablespoon,tablespoons
thyme leaves,ounce,ounces
blueberries,cup,cups
bisquick baking mix,package,packages
vanilla,teaspoon,teaspoons
cocoa powder,cup,cups
almond,cup,cups
chocolate,lb,lbs
cream,cup,cups
cayenne,pinch,pinches
paste,cup,cups
cornstarch,tablespoon,tablespoons
corn kernels,package,package
ketchup,cup,cups
sauce,tablespoon,tablespoons
oregano,teaspoon,teaspoons
seed,tablespoon,tablespoons
lemon juice,teaspoon,teaspoons
peas,lb,lbs
ginger,tablespoon,tablespoons
mace,teaspoon,teaspoons
nutmeg,pinch,pinches
cinnamon,teaspoon,teaspoons
bacon,slice,slices
coconut,cup,cups
rice,cup,cups
oregano leaves,tablespoon,tablespoons
rosemary,leaf,leaves
beef,lb,lbs
spaghetti,lb,lbs
rum,teaspoon,teaspoons
tofunaise,cup,cups
thyme,teaspoon,teaspoons
lamb,lb,lbs
syrup,tablespoon,tablespoons
salmon,lb,lbs
mayonnaise,cup,cups
basil,leaf,leaves
liqueur,teaspoon,teaspoons
brandy,teaspoon,teaspoon
mint,leaf,leaves
