                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4539,                 4.9933,                 1.3296,                      0,                      0,                      0,                      0,                 1.1373,                 4.6889,                 1.0651,               6.63e-05,               6.63e-05,               6.63e-05
                      2,                 1.3501,                 4.4664,                 1.1782,                0.04048,                0.48063,                0.07919,                0.05709,                 1.1797,                 4.0855,                  1.058,             0.00013386,             0.00013386,             0.00013386
                      3,                 1.3608,                 3.9807,                 1.1828,                0.48601,                0.19679,                 0.1578,                0.10868,                 1.2647,                 3.4136,                 1.1192,             0.00020096,             0.00020096,             0.00020096
                      4,                 1.3486,                  3.495,                 1.1797,                0.37258,                0.27501,                0.22538,                0.15261,                 1.2734,                   3.11,                 1.1398,             0.00020198,             0.00020198,             0.00020198
                      5,                 1.3268,                 3.0317,                 1.1825,                0.42669,                0.40321,                0.37629,                0.25386,                 1.2416,                 2.4181,                 1.1401,             0.00020131,             0.00020131,             0.00020131
                      6,                 1.3297,                 2.6462,                  1.206,                0.45962,                0.51907,                0.47409,                0.31892,                 1.2209,                 2.0868,                 1.1646,             0.00020063,             0.00020063,             0.00020063
                      7,                 1.2816,                 2.3426,                 1.1829,                 0.5109,                0.55651,                0.53709,                0.35999,                 1.2185,                 1.8453,                  1.174,             0.00019996,             0.00019996,             0.00019996
                      8,                 1.2646,                 2.1185,                 1.1747,                0.61549,                 0.6167,                 0.6567,                0.44981,                 1.1774,                 1.6875,                 1.1536,             0.00019929,             0.00019929,             0.00019929
                      9,                 1.2372,                 1.9239,                 1.1574,                0.64045,                0.67055,                0.70542,                 0.4802,                 1.1771,                 1.4629,                 1.1486,             0.00019861,             0.00019861,             0.00019861
                     10,                 1.1995,                 1.7389,                 1.1553,                0.74205,                0.71735,                0.77182,                0.53624,                 1.1353,                 1.3362,                 1.1227,             0.00019794,             0.00019794,             0.00019794
                     11,                 1.1734,                 1.6193,                 1.1348,                0.75434,                0.77307,                0.81026,                0.55837,                 1.1538,                 1.2341,                 1.1214,             0.00019727,             0.00019727,             0.00019727
                     12,                  1.168,                 1.5343,                 1.1312,                0.78331,                0.76832,                0.83025,                0.57495,                 1.1255,                  1.144,                 1.0959,             0.00019659,             0.00019659,             0.00019659
                     13,                 1.1387,                 1.4562,                 1.1192,                0.81172,                 0.7836,                0.85075,                0.59878,                 1.0982,                 1.0756,                  1.086,             0.00019592,             0.00019592,             0.00019592
                     14,                 1.1309,                 1.3878,                  1.114,                0.81885,                0.79433,                0.85861,                0.60219,                 1.0805,                 1.0237,                 1.0921,             0.00019525,             0.00019525,             0.00019525
                     15,                 1.1081,                 1.3061,                 1.1002,                0.82203,                0.82907,                0.88017,                0.61775,                 1.0895,                0.98319,                 1.0853,             0.00019458,             0.00019458,             0.00019458
                     16,                 1.0736,                 1.2553,                 1.0939,                0.85834,                 0.8145,                0.88446,                0.62285,                 1.0669,                0.94799,                 1.0784,              0.0001939,              0.0001939,              0.0001939
                     17,                 1.0891,                 1.2429,                 1.0877,                0.82648,                0.83853,                0.88628,                0.62263,                 1.0703,                 0.9302,                 1.0794,             0.00019323,             0.00019323,             0.00019323
                     18,                 1.0718,                 1.1906,                 1.0852,                0.86442,                0.83542,                0.88968,                0.62865,                 1.0626,                  0.902,                 1.0751,             0.00019256,             0.00019256,             0.00019256
                     19,                 1.0742,                 1.1842,                 1.0932,                0.87017,                0.85548,                0.90104,                0.63369,                  1.079,                0.90628,                 1.0895,             0.00019188,             0.00019188,             0.00019188
                     20,                 1.0571,                 1.1464,                 1.0726,                0.86164,                0.86812,                 0.9095,                0.63407,                 1.1063,                 0.8701,                 1.0914,             0.00019121,             0.00019121,             0.00019121
                     21,                 1.0456,                 1.1074,                 1.0601,                0.88814,                0.86516,                0.91433,                0.64396,                 1.0664,                0.82922,                 1.0756,             0.00019054,             0.00019054,             0.00019054
                     22,                 1.0385,                  1.086,                 1.0722,                0.89388,                0.86713,                0.91882,                0.64744,                 1.0653,                0.82009,                 1.0713,             0.00018986,             0.00018986,             0.00018986
                     23,                 1.0274,                 1.0552,                  1.062,                 0.9027,                0.86439,                0.92158,                0.65351,                 1.0515,                0.82678,                 1.0692,             0.00018919,             0.00018919,             0.00018919
                     24,                 1.0185,                 1.0336,                  1.054,                0.87928,                0.87891,                0.92138,                0.65008,                 1.0615,                0.81227,                 1.0774,             0.00018852,             0.00018852,             0.00018852
                     25,                 1.0043,                 1.0167,                 1.0524,                0.89111,                 0.8755,                0.92753,                0.65496,                 1.0543,                0.80561,                 1.0725,             0.00018784,             0.00018784,             0.00018784
                     26,                 1.0166,                 1.0154,                 1.0588,                0.87588,                0.87192,                0.91716,                0.64173,                 1.1025,                0.83536,                 1.0749,             0.00018717,             0.00018717,             0.00018717
                     27,                 1.0167,                 1.0109,                 1.0532,                 0.8984,                0.88939,                 0.9305,                0.65435,                 1.0572,                0.79043,                 1.0652,              0.0001865,              0.0001865,              0.0001865
                     28,                 0.9957,                 0.9882,                 1.0467,                0.89815,                0.88869,                0.93337,                0.65841,                 1.0556,                0.78078,                 1.0761,             0.00018582,             0.00018582,             0.00018582
                     29,                 1.0003,                0.96495,                 1.0437,                0.91344,                0.87776,                0.93745,                0.66126,                 1.0599,                0.77698,                 1.0743,             0.00018515,             0.00018515,             0.00018515
                     30,                 1.0077,                0.96977,                 1.0521,                0.90395,                0.87705,                0.93496,                0.66692,                 1.0405,                0.77666,                 1.0703,             0.00018448,             0.00018448,             0.00018448
                     31,                0.99089,                0.94545,                 1.0529,                0.91494,                0.86948,                0.93784,                0.65763,                 1.0566,                0.77005,                 1.0725,              0.0001838,              0.0001838,              0.0001838
                     32,                0.98431,                0.94511,                 1.0415,                0.91763,                0.88186,                0.93849,                0.66867,                 1.0372,                0.74663,                 1.0643,             0.00018313,             0.00018313,             0.00018313
                     33,                0.98126,                 0.9259,                   1.03,                0.90684,                0.89602,                0.94235,                0.66624,                  1.047,                0.74151,                 1.0666,             0.00018246,             0.00018246,             0.00018246
                     34,                0.98647,                0.93494,                 1.0422,                0.91664,                0.89795,                0.94491,                0.67211,                  1.029,                0.73255,                 1.0582,             0.00018178,             0.00018178,             0.00018178
                     35,                0.97486,                0.91958,                 1.0374,                0.91723,                 0.8991,                0.94748,                0.67395,                 1.0325,                0.73341,                 1.0593,             0.00018111,             0.00018111,             0.00018111
