                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5291,                  5.081,                 1.3988,                      0,                      0,                      0,                      0,                 1.1994,                 4.7481,                 1.1159,               6.63e-05,               6.63e-05,               6.63e-05
                      2,                 1.4732,                 4.6807,                  1.276,                0.03593,                0.38984,                0.04792,                0.03326,                 1.3015,                 4.0802,                 1.0899,             0.00013392,             0.00013392,             0.00013392
                      3,                 1.5047,                 4.2445,                 1.2667,                0.33198,                0.17832,                0.11157,                0.07589,                 1.3276,                 3.4575,                 1.1394,             0.00020116,             0.00020116,             0.00020116
                      4,                  1.486,                 3.8422,                 1.2637,                0.20299,                0.24151,                 0.1653,                 0.1106,                 1.3522,                 3.1089,                 1.1743,             0.00020227,             0.00020227,             0.00020227
                      5,                  1.511,                  3.502,                 1.2712,                0.30545,                0.30793,                0.23202,                0.15595,                 1.3217,                 2.9085,                 1.1784,             0.00020169,             0.00020169,             0.00020169
                      6,                  1.495,                 3.2167,                 1.2631,                0.36424,                 0.3537,                0.30755,                0.20412,                 1.3015,                 2.5192,                 1.1741,             0.00020111,             0.00020111,             0.00020111
                      7,                 1.4947,                 3.0039,                  1.266,                0.33819,                  0.401,                0.35545,                 0.2341,                 1.2963,                 2.3963,                 1.1771,             0.00020054,             0.00020054,             0.00020054
                      8,                 1.4513,                 2.8182,                 1.2533,                 0.3927,                0.44172,                0.42157,                0.27989,                 1.2794,                 2.2483,                 1.1749,             0.00019996,             0.00019996,             0.00019996
                      9,                 1.4454,                 2.6274,                  1.264,                0.49877,                0.50057,                0.48019,                0.31568,                 1.2692,                 1.9891,                 1.1656,             0.00019938,             0.00019938,             0.00019938
                     10,                 1.4277,                 2.4812,                  1.256,                0.51434,                0.52184,                0.53587,                0.35589,                 1.2476,                 1.8382,                 1.1491,             0.00019881,             0.00019881,             0.00019881
                     11,                 1.4186,                 2.3862,                 1.2457,                0.57326,                0.53779,                0.56376,                0.37387,                  1.239,                 1.7544,                 1.1431,             0.00019823,             0.00019823,             0.00019823
                     12,                  1.389,                 2.2771,                 1.2329,                0.57964,                0.58053,                0.60319,                0.40316,                 1.2219,                 1.6466,                 1.1361,             0.00019765,             0.00019765,             0.00019765
                     13,                  1.367,                 2.1861,                 1.2213,                0.59711,                0.60641,                0.63969,                 0.4254,                 1.2249,                 1.6162,                 1.1395,             0.00019708,             0.00019708,             0.00019708
                     14,                 1.3639,                 2.0989,                 1.2225,                0.64103,                0.61522,                0.66699,                0.44367,                 1.2099,                 1.4959,                 1.1353,              0.0001965,              0.0001965,              0.0001965
                     15,                 1.3521,                 2.0316,                 1.2071,                0.62247,                0.64092,                0.68342,                0.45734,                 1.2082,                 1.4585,                 1.1294,             0.00019592,             0.00019592,             0.00019592
                     16,                 1.3567,                 1.9767,                 1.2244,                0.67015,                0.64551,                0.69958,                0.46908,                 1.2073,                 1.4266,                 1.1246,             0.00019534,             0.00019534,             0.00019534
                     17,                 1.3369,                 1.9286,                 1.2048,                0.72198,                0.63461,                0.72364,                0.48914,                 1.1886,                 1.3665,                 1.1229,             0.00019477,             0.00019477,             0.00019477
                     18,                 1.3244,                 1.8713,                 1.1958,                0.69132,                0.66334,                 0.7312,                0.49309,                 1.1849,                 1.3642,                 1.1198,             0.00019419,             0.00019419,             0.00019419
                     19,                 1.3257,                 1.8481,                 1.1918,                0.71492,                0.67729,                 0.7514,                0.50695,                 1.1786,                 1.2812,                 1.1161,             0.00019361,             0.00019361,             0.00019361
                     20,                 1.3266,                 1.8194,                 1.2014,                 0.7185,                0.68188,                0.75791,                0.51109,                 1.1734,                  1.278,                 1.1104,             0.00019304,             0.00019304,             0.00019304
                     21,                 1.3005,                 1.7512,                 1.1863,                0.71306,                0.69295,                0.75875,                0.51408,                 1.1709,                 1.2369,                 1.1102,             0.00019246,             0.00019246,             0.00019246
                     22,                 1.2883,                 1.7141,                 1.1756,                0.73166,                0.71934,                0.77699,                0.52668,                 1.1761,                 1.2145,                 1.1146,             0.00019188,             0.00019188,             0.00019188
                     23,                 1.2994,                 1.7205,                 1.1823,                0.74056,                0.71195,                0.77766,                0.52894,                 1.1572,                 1.2112,                 1.1113,             0.00019131,             0.00019131,             0.00019131
                     24,                 1.2822,                 1.6432,                 1.1746,                0.76511,                0.72176,                0.79472,                0.53814,                 1.1678,                 1.1636,                 1.0976,             0.00019073,             0.00019073,             0.00019073
                     25,                 1.2798,                  1.636,                 1.1694,                0.77133,                0.72863,                0.79874,                0.54426,                 1.1574,                 1.1509,                 1.0977,             0.00019015,             0.00019015,             0.00019015
                     26,                 1.2708,                 1.6142,                 1.1687,                0.78292,                0.72463,                0.80617,                 0.5469,                 1.1607,                 1.1461,                 1.1015,             0.00018957,             0.00018957,             0.00018957
                     27,                 1.2786,                 1.6237,                 1.1708,                  0.766,                0.74353,                0.80718,                0.55154,                 1.1558,                  1.122,                 1.0901,               0.000189,               0.000189,               0.000189
                     28,                 1.2585,                 1.5799,                 1.1645,                0.77497,                0.76321,                0.81543,                0.55656,                 1.1561,                 1.1156,                 1.1025,             0.00018842,             0.00018842,             0.00018842
                     29,                   1.23,                 1.5408,                 1.1453,                0.77097,                0.75184,                0.81612,                0.56071,                 1.1472,                 1.0851,                 1.0926,             0.00018784,             0.00018784,             0.00018784
                     30,                 1.2504,                 1.5307,                 1.1606,                0.78104,                0.74303,                0.81695,                0.55761,                 1.1571,                  1.074,                 1.1001,             0.00018727,             0.00018727,             0.00018727
                     31,                 1.2549,                 1.5186,                 1.1559,                0.77427,                0.77031,                0.82384,                0.55971,                 1.1572,                 1.0696,                 1.0913,             0.00018669,             0.00018669,             0.00018669
