                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7741,                 5.0094,                 1.5078,                0.39456,                0.09246,                0.02791,                0.01474,                   1.69,                 4.0507,                 1.5141,              0.0033056,              0.0033056,              0.0033056
                      2,                 1.8056,                 3.9195,                 1.5599,                 0.1992,                0.21917,                0.13494,                0.07966,                 1.7106,                 3.1214,                 1.6096,              0.0066243,              0.0066243,              0.0066243
                      3,                  1.796,                 3.2901,                 1.6028,                0.34803,                0.24692,                  0.231,                0.12915,                 1.6364,                 2.8304,                 1.5636,              0.0099283,              0.0099283,              0.0099283
                      4,                 1.7524,                 2.9933,                 1.5868,                0.38592,                0.38721,                0.34698,                0.20071,                 1.6128,                 2.6334,                 1.6217,               0.009934,               0.009934,               0.009934
                      5,                 1.7093,                 2.7933,                 1.5763,                0.49956,                0.38798,                0.40151,                0.23488,                  1.573,                  2.423,                 1.6224,               0.009912,               0.009912,               0.009912
                      6,                 1.6813,                   2.68,                 1.5601,                0.47605,                 0.4549,                 0.4526,                0.26246,                 1.5634,                 2.3424,                 1.5789,                0.00989,                0.00989,                0.00989
                      7,                 1.6586,                 2.5974,                 1.5667,                0.51048,                0.45397,                 0.4777,                0.28326,                  1.552,                 2.2891,                 1.5566,               0.009868,               0.009868,               0.009868
                      8,                 1.6464,                 2.5093,                 1.5463,                0.52262,                0.50664,                0.52564,                0.31366,                 1.5298,                 2.1659,                 1.5673,               0.009846,               0.009846,               0.009846
                      9,                 1.6146,                 2.4105,                 1.5128,                0.52486,                 0.5215,                0.53443,                0.32645,                 1.4944,                 2.1134,                 1.5113,               0.009824,               0.009824,               0.009824
                     10,                 1.6028,                 2.4143,                 1.5163,                0.59177,                 0.5009,                0.54161,                0.33046,                 1.4933,                 2.1091,                 1.5244,               0.009802,               0.009802,               0.009802
                     11,                 1.5974,                 2.3631,                 1.5153,                0.59134,                0.52135,                0.56707,                0.34889,                 1.4708,                 2.0315,                  1.489,                0.00978,                0.00978,                0.00978
                     12,                 1.5835,                 2.3232,                 1.4891,                0.57918,                0.54368,                0.57577,                0.35546,                 1.4657,                 2.0346,                 1.4999,               0.009758,               0.009758,               0.009758
                     13,                 1.5781,                 2.2994,                 1.5006,                0.61664,                0.54701,                0.59588,                0.37099,                 1.4566,                 1.9817,                 1.5051,               0.009736,               0.009736,               0.009736
                     14,                 1.5566,                 2.2707,                 1.4813,                0.63986,                0.54179,                0.59602,                0.36728,                 1.4742,                 1.9994,                 1.4986,               0.009714,               0.009714,               0.009714
